Group.1 tBodyAcc.mean...X tBodyAcc.mean...Y tBodyAcc.mean...Z tBodyAcc.std...X tBodyAcc.std...Y tBodyAcc.std...Z tGravityAcc.mean...X tGravityAcc.mean...Y tGravityAcc.mean...Z tGravityAcc.std...X tGravityAcc.std...Y tGravityAcc.std...Z tBodyAccJerk.mean...X tBodyAccJerk.mean...Y tBodyAccJerk.mean...Z tBodyAccJerk.std...X tBodyAccJerk.std...Y tBodyAccJerk.std...Z tBodyGyro.mean...X tBodyGyro.mean...Y tBodyGyro.mean...Z tBodyGyro.std...X tBodyGyro.std...Y tBodyGyro.std...Z tBodyGyroJerk.mean...X tBodyGyroJerk.mean...Y tBodyGyroJerk.mean...Z tBodyGyroJerk.std...X tBodyGyroJerk.std...Y tBodyGyroJerk.std...Z tBodyAccMag.mean.. tBodyAccMag.std.. tGravityAccMag.mean.. tGravityAccMag.std.. tBodyAccJerkMag.mean.. tBodyAccJerkMag.std.. tBodyGyroMag.mean.. tBodyGyroMag.std.. tBodyGyroJerkMag.mean.. tBodyGyroJerkMag.std.. fBodyAcc.mean...X fBodyAcc.mean...Y fBodyAcc.mean...Z fBodyAcc.std...X fBodyAcc.std...Y fBodyAcc.std...Z fBodyAccJerk.mean...X fBodyAccJerk.mean...Y fBodyAccJerk.mean...Z fBodyAccJerk.std...X fBodyAccJerk.std...Y fBodyAccJerk.std...Z fBodyGyro.mean...X fBodyGyro.mean...Y fBodyGyro.mean...Z fBodyGyro.std...X fBodyGyro.std...Y fBodyGyro.std...Z fBodyAccMag.mean.. fBodyAccMag.std.. fBodyBodyAccJerkMag.mean.. fBodyBodyAccJerkMag.std.. fBodyBodyGyroMag.mean.. fBodyBodyGyroMag.std.. fBodyBodyGyroJerkMag.mean.. fBodyBodyGyroJerkMag.std..
5                  0.2791780          -0.01548335        -0.1056617         -0.5076910         -0.40272491        -0.6464436          0.6981537          0.11231311         0.09216072        -0.9646291         -0.9399738         -0.9420787         0.08410199         0.0017656830       -0.0029537113      -0.57589054        -0.50654436        -0.7845620         -0.0294516874      -0.07743164        0.08662671         -0.7099557         -0.7056383         -0.6065898         -0.10352288        -0.04906245        -0.05062582        -0.6625813         -0.7741143         -0.5646808         -0.4608664         -0.5216235         -0.4608664         -0.5216235         -0.5893139         -0.58903127        -0.6027703         -0.6640784         -0.7073835         -0.7341875         -0.55123771        -0.44023243        -0.6961718         -0.4928299         -0.422162171       -0.6493512         -0.60476987        -0.5509920         -0.7687624         -0.58401363        -0.49150043        -0.7988356         -0.6322393         -0.7170622         -0.5373291         -0.7357386         -0.7022904         -0.6693537         -0.5285030         -0.59425953        -0.573176177       -0.61348512        -0.6773558         -0.7157311         -0.7488293         -0.7356106        
6                  0.2723766          -0.01756970        -0.1159945         -0.5050861         -0.36840367        -0.6725120          0.6887021          0.01620555         0.04752000        -0.9588987         -0.9509349         -0.9379102         0.08138336         0.0004792811       -0.0022589630      -0.53146831        -0.45443750        -0.7389552         -0.0433611785      -0.07061291        0.09731303         -0.6538007         -0.6262521         -0.5999102         -0.08291600        -0.04549210        -0.05336103        -0.5460100         -0.6776360         -0.5269083         -0.4647700         -0.4837906         -0.4647700         -0.4837906         -0.5514137         -0.50293506        -0.5494949         -0.5798378         -0.6219362         -0.6444745         -0.50617493        -0.39204141        -0.6837259         -0.5066803         -0.396677794       -0.6943652         -0.54939427        -0.5035590         -0.7208672         -0.55534616        -0.43783746        -0.7557511         -0.5372014         -0.6211887         -0.5076042         -0.6928624         -0.6332362         -0.6730203         -0.4739749         -0.57091029        -0.494882316       -0.51671126        -0.5791301         -0.6573687         -0.6518869         -0.6601759        
7                  0.2702117          -0.01879049        -0.1124924         -0.5775183         -0.54640337        -0.4564736          0.6812891         -0.04202215         0.03421607        -0.9565382         -0.9553126         -0.9233047         0.08318296         0.0076090977       -0.0079172570      -0.61513138        -0.62299742        -0.6643369         -0.0518716929      -0.06460771        0.09776717         -0.6871555         -0.6524087         -0.6633408         -0.09420374        -0.04144014        -0.06103079        -0.7017312         -0.6749201         -0.7508087         -0.5113120         -0.5106699         -0.5113120         -0.5106699         -0.6228158         -0.55056023        -0.5818999         -0.5986708         -0.7131913         -0.6580178         -0.59301129        -0.56354779        -0.5310059         -0.5723475         -0.567046977       -0.4607921         -0.63752194        -0.6416873         -0.6425157         -0.62678574        -0.62853163        -0.6848564         -0.6437676         -0.6304193         -0.6550834         -0.7038836         -0.6711619         -0.6989495         -0.5183239         -0.58381980        -0.553360010       -0.55068325        -0.6288773         -0.6509236         -0.6688792         -0.6689634        
8                  0.2707591          -0.01818950        -0.1068096         -0.5829589         -0.34938373        -0.4994727          0.6474982          0.03032111         0.08365424        -0.9542567         -0.9484465         -0.9231807         0.08421575         0.0008603016       -0.0196719913      -0.57599307        -0.45872493        -0.6683568          0.0035905390      -0.09107751        0.06408676         -0.6562192         -0.5709412         -0.5113920         -0.10496986        -0.04009222        -0.05828871        -0.6749845         -0.6830869         -0.6959703         -0.4685226         -0.5540390         -0.4685226         -0.5540390         -0.5342486         -0.56447200        -0.4762149         -0.5814229         -0.6736255         -0.7158384         -0.58183141        -0.37494424        -0.5509794         -0.5853435         -0.378656459       -0.5132063         -0.59163501        -0.4959062         -0.6442858         -0.59854625        -0.45636840        -0.6914809         -0.6013824         -0.5759385         -0.5255629         -0.6752754         -0.5730873         -0.5539686         -0.5121068         -0.65163808        -0.529244911       -0.61802741        -0.6099843         -0.6366739         -0.7021562         -0.7557173        
9                  0.2703138          -0.02094666        -0.1012338         -0.5556565         -0.57588790        -0.5061118          0.6708455         -0.04674470         0.10435365        -0.9587847         -0.9499381         -0.9205543         0.08401714         0.0067848585       -0.0010299809      -0.57830516        -0.67892387        -0.7216101         -0.0701318155      -0.07298843        0.10909291         -0.6764524         -0.6704982         -0.5875577         -0.08922549        -0.03973444        -0.05340288        -0.7617109         -0.7732739         -0.7446560         -0.5051835         -0.5530383         -0.5051835         -0.5530383         -0.6216082         -0.60886215        -0.5502019         -0.6631984         -0.7629796         -0.7861769         -0.57925840        -0.61026780        -0.5921191         -0.5479957         -0.586766083       -0.5010740         -0.62137714        -0.6997666         -0.7029319         -0.57281989        -0.67906586        -0.7391399         -0.6398632         -0.6839243         -0.6126805         -0.6906899         -0.6672032         -0.6194686         -0.5531864         -0.62445683        -0.609193722       -0.61161934        -0.7008631         -0.6977294         -0.7864740         -0.8012963        
10                 0.2768485          -0.01783579        -0.1113015         -0.5378077         -0.49740589        -0.6147770          0.6429057         -0.07402485         0.05520472        -0.9658081         -0.9545241         -0.9387064         0.07981086         0.0129143257       -0.0113556968      -0.52938321        -0.54023662        -0.7507293         -0.0185023696      -0.08464037        0.09102650         -0.6739056         -0.5913332         -0.5981423         -0.10815083        -0.04242200        -0.05555213        -0.7032435         -0.7686418         -0.6868003         -0.5025002         -0.5453488         -0.5025002         -0.5453488         -0.5777619         -0.52934048        -0.5218198         -0.6244084         -0.7344658         -0.7688218         -0.53228946        -0.49465147        -0.6550623         -0.5411702         -0.532135173       -0.6258718         -0.54724304        -0.5551046         -0.7216897         -0.55340348        -0.55627173        -0.7791682         -0.6203792         -0.6483506         -0.5674567         -0.6926543         -0.5659437         -0.6459477         -0.5187340         -0.63319611        -0.515140811       -0.55302736        -0.6614966         -0.6660146         -0.7677801         -0.7871443        
11                 0.2765853          -0.01912725        -0.1089418         -0.5894765         -0.49037935        -0.6653243          0.7305262          0.05273870         0.14020986        -0.9753945         -0.9571388         -0.9568120         0.08301345         0.0078044254       -0.0065742498      -0.65932308        -0.60878423        -0.8425118         -0.0547328440      -0.05822758        0.08728411         -0.7399221         -0.7035018         -0.7250160         -0.08054733        -0.04939141        -0.04801402        -0.7817381         -0.8683773         -0.7954909         -0.5428250         -0.6128823         -0.5428250         -0.6128823         -0.6798195         -0.66424176        -0.6283679         -0.6967714         -0.8268290         -0.8669050         -0.61952403        -0.53145527        -0.7500261         -0.5794918         -0.502570240       -0.6520957         -0.67667299        -0.6323747         -0.8255596         -0.67219564        -0.60944500        -0.8582596         -0.7099493         -0.7768529         -0.7088430         -0.7517583         -0.6708927         -0.7559606         -0.6115281         -0.67447016        -0.656133473       -0.67692508        -0.7575859         -0.7112672         -0.8648270         -0.8792540        
12                 0.2736087          -0.01833720        -0.1066491         -0.5839622         -0.52204002        -0.6992935          0.6992225          0.02997678         0.03302955        -0.9673834         -0.9605729         -0.9468086         0.07043031         0.0053115378        0.0003081124      -0.58241827        -0.57135982        -0.7926219         -0.0628663473      -0.05920273        0.09607421         -0.7278817         -0.7350628         -0.6710577         -0.07311344        -0.04367882        -0.05745850        -0.7097261         -0.8112326         -0.7493519         -0.5595865         -0.5743865         -0.5595865         -0.5743865         -0.6300505         -0.56636568        -0.6316681         -0.6848581         -0.7772945         -0.7863865         -0.57892021        -0.52328708        -0.7266403         -0.5869226         -0.553076639       -0.7099832         -0.59910932        -0.5912964         -0.7754266         -0.60296006        -0.57916805        -0.8085830         -0.6612468         -0.7447981         -0.6573699         -0.7503939         -0.7334567         -0.7082332         -0.5592837         -0.65053328        -0.564239194       -0.57161489        -0.7173117         -0.7194381         -0.7899029         -0.7973615        
13                 0.2758959          -0.01765048        -0.1091353         -0.6248445         -0.44881610        -0.5872306          0.7099965         -0.04208581         0.04430105        -0.9672681         -0.9535407         -0.9387279         0.07943930         0.0038796195       -0.0123485924      -0.63888953        -0.56970055        -0.7284530         -0.0562470619      -0.06166138        0.09886606         -0.7151099         -0.6457286         -0.6433373         -0.08811824        -0.04408366        -0.05827187        -0.7157730         -0.7189886         -0.7127164         -0.5398716         -0.5972310         -0.5398716         -0.5972310         -0.6254669         -0.61024854        -0.5812154         -0.6363649         -0.7127450         -0.7120562         -0.63881791        -0.49346719        -0.6297363         -0.6206020         -0.462584459       -0.5990369         -0.66008217        -0.6033405         -0.7108317         -0.64960623        -0.56212987        -0.7448235         -0.6586424         -0.6471528         -0.6204712         -0.7346580         -0.6506236         -0.6857745         -0.5899281         -0.66534486        -0.607295296       -0.61707547        -0.6522253         -0.6919152         -0.7120544         -0.7331836        
14                 0.2701846          -0.01625482        -0.1009859         -0.6116711         -0.37473077        -0.2935427          0.6720812         -0.11170139        -0.16117973        -0.9412457         -0.9423773         -0.9159278         0.07417575         0.0044368272       -0.0025304469      -0.64196420        -0.58645962        -0.6568556          0.0002536714      -0.09549212        0.06067124         -0.7286614         -0.3989594         -0.3644782         -0.10755613        -0.04332005        -0.04506938        -0.7862917         -0.6979155         -0.6382991         -0.4532626         -0.4740586         -0.4532626         -0.4740586         -0.6089734         -0.60514427        -0.4164598         -0.4714867         -0.7005209         -0.7270230         -0.61951327        -0.45523762        -0.4406507         -0.6094064         -0.376829989       -0.2750137         -0.65438501        -0.5986995         -0.6187122         -0.66146036        -0.60215894        -0.6944250         -0.6991664         -0.5046332         -0.4239182         -0.7400522         -0.3488642         -0.4076721         -0.4908742         -0.54826993        -0.596896309       -0.61921514        -0.5430305         -0.5169305         -0.7175901         -0.7605601        
15                 0.2782134          -0.01646448        -0.1125636         -0.5565412         -0.48167954        -0.7057066          0.6888725          0.10266049         0.03728977        -0.9687334         -0.9563695         -0.9472401         0.07768974         0.0048939205       -0.0044099319      -0.62405578        -0.59431268        -0.8258209         -0.0281278781      -0.07587885        0.09066585         -0.6968595         -0.7087791         -0.7218270         -0.09609101        -0.04412707        -0.05556455        -0.7313827         -0.8539566         -0.7956262         -0.5272854         -0.5571479         -0.5272854         -0.5571479         -0.6547997         -0.62566038        -0.6177218         -0.6753370         -0.8052827         -0.8371201         -0.58377232        -0.50773521        -0.7417457         -0.5471509         -0.501568435       -0.7114313         -0.64346952        -0.6094081         -0.8055435         -0.63765516        -0.60585488        -0.8451111         -0.6643544         -0.7607114         -0.7111945         -0.7093362         -0.6845047         -0.7516965         -0.5629484         -0.62365562        -0.614817605       -0.64310117        -0.7323945         -0.6953468         -0.8368019         -0.8496345        
16                 0.2778874          -0.01585679        -0.1072639         -0.6681615         -0.64994707        -0.6038199          0.7009061         -0.06052360         0.04020755        -0.9711564         -0.9647275         -0.9452940         0.07754889         0.0088401833       -0.0014373001      -0.72786174        -0.73508020        -0.7678730         -0.0122341447      -0.07244448        0.07301447         -0.7995345         -0.8101241         -0.7376300         -0.10736161        -0.04166157        -0.05394704        -0.8582987         -0.8695731         -0.8370399         -0.6161311         -0.6617197         -0.6161311         -0.6617197         -0.7252469         -0.71964703        -0.7181688         -0.7848229         -0.8604464         -0.8748002         -0.70088515        -0.67157215        -0.6609899         -0.6569690         -0.661844531       -0.6056467         -0.74466204        -0.7486270         -0.7523022         -0.73477674        -0.73843440        -0.7820895         -0.7897801         -0.8159621         -0.7562866         -0.8049918         -0.8094214         -0.7569936         -0.6669625         -0.71268099        -0.713167614       -0.72986940        -0.8171288         -0.8020782         -0.8727723         -0.8865332        
17                 0.2740295          -0.01754160        -0.1091999         -0.6084552         -0.56700532        -0.6605828          0.6989374         -0.01373470        -0.01770424        -0.9717717         -0.9588100         -0.9490392         0.08140606         0.0084894967        0.0027028801      -0.68260310        -0.66869382        -0.8133396         -0.0146686177      -0.08271093        0.07702506         -0.7590111         -0.7648670         -0.7207410         -0.10785417        -0.03917194        -0.05084965        -0.7883880         -0.8259887         -0.8082513         -0.5683672         -0.6360745         -0.5683672         -0.6360745         -0.6964652         -0.69394639        -0.6761851         -0.7501453         -0.8104382         -0.8252560         -0.65178042        -0.60174138        -0.7189474         -0.5935102         -0.576930056       -0.6566229         -0.71668162        -0.6947548         -0.8025288         -0.67654494        -0.66315839        -0.8228017         -0.7287104         -0.7747453         -0.7268578         -0.7700572         -0.7613352         -0.7451015         -0.6461892         -0.68753694        -0.697575559       -0.69259578        -0.7694986         -0.7822325         -0.8291245         -0.8337010        
18                 0.2763242          -0.01728315        -0.1081123         -0.6946169         -0.62711751        -0.7015960          0.7168632         -0.01578200         0.08999017        -0.9801387         -0.9695420         -0.9594342         0.07748092         0.0128850449        0.0008485451      -0.73464445        -0.73296918        -0.8472578         -0.0373993799      -0.06782001        0.09084029         -0.8045337         -0.7773617         -0.7456125         -0.09440296        -0.04416919        -0.05684826        -0.8428935         -0.8840505         -0.8386147         -0.6583710         -0.6896719         -0.6583710         -0.6896719         -0.7539047         -0.74521281        -0.7147357         -0.7757791         -0.8598999         -0.8885653         -0.71422776        -0.66365967        -0.7612292         -0.6878505         -0.632838238       -0.6948741         -0.75002008        -0.7441134         -0.8330321         -0.74251789        -0.73919783        -0.8601690         -0.7877576         -0.8163859         -0.7559268         -0.8121752         -0.7596656         -0.7663817         -0.6977329         -0.73390405        -0.742323822       -0.75018998        -0.8162866         -0.7897777         -0.8846630         -0.9022068        
19                 0.2697235          -0.01820315        -0.1182772         -0.5746589         -0.50703508        -0.6491847          0.4753230          0.09640526         0.23301140        -0.9582904         -0.9592538         -0.9418003         0.07741711         0.0115812422       -0.0018619885      -0.57108827        -0.57131119        -0.7053430         -0.0385723953      -0.06814206        0.08836096         -0.6377899         -0.6438663         -0.6456822         -0.08959394        -0.03832087        -0.05696494        -0.6188362         -0.7259914         -0.6866846         -0.5315074         -0.5995528         -0.5315074         -0.5995528         -0.5762252         -0.60191855        -0.5489197         -0.6100934         -0.6834365         -0.7255987         -0.58705036        -0.52188808        -0.6470263         -0.5708980         -0.530901585       -0.6802914         -0.59315717        -0.5966949         -0.6809245         -0.58691013        -0.57259672        -0.7285219         -0.5530896         -0.6413373         -0.6026253         -0.6660713         -0.6501054         -0.6947291         -0.5564044         -0.68986092        -0.576064648       -0.64108901        -0.6362880         -0.6623260         -0.7195190         -0.7542237        
20                 0.2684258          -0.01759130        -0.1080291         -0.6048467         -0.36933671        -0.6347873          0.6280406         -0.03730595         0.10723076        -0.9582019         -0.9525068         -0.9409815         0.07981813         0.0022092871       -0.0045061190      -0.62709883        -0.52717460        -0.7473626         -0.0242488812      -0.07894484        0.08562806         -0.6845863         -0.5736774         -0.5272780         -0.09498218        -0.04143561        -0.05430013        -0.6983541         -0.6842807         -0.6367159         -0.5172574         -0.5723258         -0.5172574         -0.5723258         -0.6196988         -0.58864431        -0.5168612         -0.5800236         -0.6840485         -0.6835037         -0.61264111        -0.42639872        -0.6650069         -0.6031489         -0.381534029       -0.6475156         -0.65226423        -0.5577913         -0.7328356         -0.63471008        -0.52590761        -0.7605091         -0.6264454         -0.5910397         -0.5184445         -0.7044818         -0.5675886         -0.5750022         -0.5602789         -0.64830620        -0.584571447       -0.59735105        -0.6069709         -0.6358163         -0.6926381         -0.6946800        
